PickUpDateTime,Longitude,Latitude,Age,Sex,SpendCat,ResidentCat,AppleAndorid,NetworkFlag,NetworkProvider,PrePaidPostPaid,ActivePassive,VoiceData
2020-07-05 19:14:00,-1.497337,53.388226,28,2,4,Resident,Apple,1,BT,PrePaid,Passive,NotInUse
2020-07-06 19:14:00,-1.498332,53.383497,17,1,5,Resident,Apple,6,MVNO,PostPaid,Active,Data
2020-07-07 19:14:00,-1.508195,53.384930,41,2,1,Resident,Android,5,Three,PrePaid,Passive,NotInUse
2020-07-08 19:14:00,-1.488097,53.369472,46,2,4,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-07-09 19:14:00,-1.440307,53.374083,54,1,5,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-07-10 19:14:00,-1.499430,53.385893,29,2,5,Resident,Apple,3,Vodafone,PrePaid,Passive,NotInUse
2020-07-11 19:14:00,-1.505544,53.387332,53,2,5,Resident,Android,3,Vodafone,PostPaid,Active,Data
2020-07-12 19:14:00,-1.513097,53.384531,18,2,5,Resident,Android,4,EE,PrePaid,Passive,NotInUse
2020-07-13 19:14:00,-1.510069,53.374180,47,2,4,UK,Android,1,BT,PostPaid,Passive,NotInUse
2020-07-14 19:14:00,-1.454412,53.370926,15,1,5,Resident,Android,5,Three,PostPaid,Active,Voice
2020-07-15 19:14:00,-1.463616,53.371969,27,1,2,UK,Android,3,Vodafone,PostPaid,Active,Data
2020-07-16 19:14:00,-1.496079,53.377146,47,2,4,Resident,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-07-17 19:14:00,-1.476097,53.387925,67,2,4,UK,Android,2,O2,PostPaid,Passive,NotInUse
2020-07-18 19:14:00,-1.504996,53.379025,23,1,5,UK,Android,1,BT,PostPaid,Passive,NotInUse
2020-07-19 19:14:00,-1.496824,53.368534,37,1,5,Resident,Android,2,O2,PostPaid,Passive,NotInUse
2020-07-20 19:14:00,-1.489819,53.390096,42,1,4,Resident,Apple,4,EE,PrePaid,Passive,NotInUse
2020-07-21 19:14:00,-1.458762,53.380996,18,2,5,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-07-22 19:14:00,-1.483314,53.374143,34,1,5,UK,Apple,2,O2,PrePaid,Passive,NotInUse
2020-07-23 19:14:00,-1.487307,53.387893,43,2,5,Resident,Apple,6,MVNO,PrePaid,Active,Voice
2020-07-24 19:14:00,-1.495408,53.386285,37,1,2,Resident,Android,6,MVNO,PostPaid,Active,Voice
2020-07-25 19:14:00,-1.493921,53.378679,26,1,5,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-07-26 19:14:00,-1.454984,53.374960,79,2,5,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-07-27 19:14:00,-1.492956,53.369134,52,2,2,Resident,Apple,1,BT,PostPaid,Passive,NotInUse
2020-07-28 19:14:00,-1.445192,53.391307,36,1,3,Resident,Android,1,BT,PrePaid,Passive,NotInUse
2020-07-29 19:14:00,-1.461619,53.369493,50,2,5,Resident,Apple,3,Vodafone,PostPaid,Active,Data
2020-07-30 19:14:00,-1.445980,53.374799,48,1,5,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-07-31 19:14:00,-1.496655,53.374198,25,1,5,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-08-01 19:14:00,-1.500793,53.381287,55,2,4,UK,Android,2,O2,PostPaid,Passive,NotInUse
2020-08-02 19:14:00,-1.471538,53.376004,40,1,1,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-08-03 19:14:00,-1.493916,53.379156,12,2,2,Resident,Android,2,O2,PostPaid,Passive,NotInUse
2020-08-04 19:14:00,-1.473758,53.369035,34,1,3,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-08-05 19:14:00,-1.437078,53.368652,76,2,4,UK,Android,1,BT,PrePaid,Passive,NotInUse
2020-08-06 19:14:00,-1.479558,53.391643,37,1,1,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-08-07 19:14:00,-1.448263,53.378752,42,2,5,Resident,Android,2,O2,PrePaid,Passive,NotInUse
2020-08-08 19:14:00,-1.469293,53.376604,20,2,1,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-08-09 19:14:00,-1.502514,53.391273,19,2,2,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-08-10 19:14:00,-1.477569,53.389097,21,1,3,UK,Apple,1,BT,PostPaid,Passive,NotInUse
2020-08-11 19:14:00,-1.437461,53.379039,19,2,5,Resident,Android,2,O2,PostPaid,Active,Data
2020-08-12 19:14:00,-1.467563,53.387584,42,2,1,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-08-13 19:14:00,-1.494671,53.380280,27,1,4,Resident,Android,2,O2,PostPaid,Passive,NotInUse
2020-08-14 19:14:00,-1.462595,53.392117,37,2,3,Resident,Android,3,Vodafone,PrePaid,Passive,NotInUse
2020-08-15 19:14:00,-1.455070,53.385715,17,1,1,Resident,Apple,1,BT,PrePaid,Passive,NotInUse
2020-08-16 19:14:00,-1.506722,53.384993,27,1,5,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-08-17 19:14:00,-1.452095,53.376895,32,U,5,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-08-18 19:14:00,-1.514766,53.367707,73,U,3,Resident,Android,1,BT,PrePaid,Passive,NotInUse
2020-08-19 19:14:00,-1.469544,53.384036,70,1,2,Resident,Apple,3,Vodafone,PostPaid,Active,Voice
2020-08-20 19:14:00,-1.500471,53.383783,60,1,5,Resident,Android,2,O2,PostPaid,Passive,NotInUse
2020-08-21 19:14:00,-1.488600,53.379540,18,2,5,Resident,Apple,5,Three,PostPaid,Passive,NotInUse
2020-08-22 19:14:00,-1.515052,53.382744,48,1,4,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-08-23 19:14:00,-1.440129,53.385021,33,1,5,Resident,Apple,5,Three,PostPaid,Passive,NotInUse
2020-08-24 19:14:00,-1.482625,53.384204,27,2,4,Resident,Android,2,O2,PrePaid,Active,Data
2020-08-25 19:14:00,-1.447312,53.390344,56,1,4,Resident,Apple,1,BT,PostPaid,Active,Data
2020-08-26 19:14:00,-1.439971,53.387652,54,1,5,Non-UK,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-08-27 19:14:00,-1.491932,53.388964,71,1,1,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-08-28 19:14:00,-1.446968,53.386440,68,1,2,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-08-29 19:14:00,-1.500452,53.382007,25,2,3,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-08-30 19:14:00,-1.498699,53.376817,18,1,5,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-08-31 19:14:00,-1.488107,53.384048,22,2,4,Resident,Apple,4,EE,PostPaid,Passive,NotInUse
2020-09-01 19:14:00,-1.473456,53.390696,76,2,4,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-09-02 19:14:00,-1.458842,53.387619,12,2,5,Resident,Android,2,O2,PrePaid,Active,Voice
2020-09-03 19:14:00,-1.481039,53.369279,74,2,3,UK,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-09-04 19:14:00,-1.452173,53.392165,53,1,1,UK,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-09-05 19:14:00,-1.501635,53.384046,59,1,5,UK,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-09-06 19:14:00,-1.465167,53.391503,29,2,2,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-09-07 19:14:00,-1.481635,53.374933,27,2,5,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-09-08 19:14:00,-1.448650,53.372391,50,1,1,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-09-09 19:14:00,-1.502384,53.378876,30,2,4,Resident,Android,2,O2,PrePaid,Passive,NotInUse
2020-09-10 19:14:00,-1.435015,53.368243,68,1,2,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-09-11 19:14:00,-1.453341,53.375551,13,1,4,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-09-12 19:14:00,-1.443298,53.392283,70,2,2,Resident,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-09-13 19:14:00,-1.495824,53.374090,57,1,5,Resident,Android,6,MVNO,PostPaid,Active,Voice
2020-09-14 19:14:00,-1.437354,53.385523,17,1,2,UK,Apple,3,Vodafone,PrePaid,Passive,NotInUse
2020-09-15 19:14:00,-1.490753,53.386336,76,1,1,Resident,Apple,5,Three,PostPaid,Passive,NotInUse
2020-09-16 19:14:00,-1.486102,53.378950,22,2,1,Resident,Android,2,O2,PostPaid,Passive,NotInUse
2020-09-17 19:14:00,-1.455173,53.382876,62,2,3,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-09-18 19:14:00,-1.465395,53.384749,73,2,5,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-09-19 19:14:00,-1.447664,53.390719,17,2,2,UK,Apple,4,EE,PrePaid,Passive,NotInUse
2020-09-20 19:14:00,-1.454063,53.375954,25,2,2,Resident,Apple,2,O2,PostPaid,Passive,NotInUse
2020-09-21 19:14:00,-1.442039,53.376935,17,2,4,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-09-22 19:14:00,-1.443314,53.381591,35,1,1,Non-UK,Android,5,Three,PostPaid,Passive,NotInUse
2020-09-23 19:14:00,-1.496539,53.392217,14,2,2,Resident,Apple,1,BT,PostPaid,Passive,NotInUse
2020-09-24 19:14:00,-1.476028,53.374693,21,2,2,UK,Android,1,BT,PostPaid,Passive,NotInUse
2020-09-25 19:14:00,-1.514987,53.371750,69,1,3,Resident,Apple,1,BT,PostPaid,Passive,NotInUse
2020-09-26 19:14:00,-1.474888,53.390357,48,1,2,UK,Apple,4,EE,PostPaid,Passive,NotInUse
2020-09-27 19:14:00,-1.437608,53.369193,69,2,2,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-09-28 19:14:00,-1.471890,53.374334,54,2,4,Non-UK,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-09-29 19:14:00,-1.447031,53.386749,79,2,4,Resident,Apple,2,O2,PostPaid,Active,Voice
2020-09-30 19:14:00,-1.464409,53.367820,32,2,1,Resident,Android,6,MVNO,PrePaid,Passive,NotInUse
2020-10-01 19:14:00,-1.474763,53.386987,69,2,2,UK,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-10-02 19:14:00,-1.498433,53.367914,58,1,5,UK,Android,6,MVNO,PostPaid,Active,Data
2020-10-03 19:14:00,-1.477432,53.372488,82,1,3,Resident,Apple,5,Three,PostPaid,Active,Voice
2020-10-04 19:14:00,-1.473933,53.383713,81,2,5,UK,Android,4,EE,PostPaid,Passive,NotInUse
2020-10-05 19:14:00,-1.480215,53.380152,72,2,1,UK,Apple,4,EE,PrePaid,Passive,NotInUse
2020-10-06 19:14:00,-1.463376,53.384015,74,2,4,Resident,Android,6,MVNO,PrePaid,Passive,NotInUse
2020-10-07 19:14:00,-1.477422,53.371993,19,2,3,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-10-08 19:14:00,-1.497358,53.368558,62,2,1,UK,Android,2,O2,PostPaid,Passive,NotInUse
2020-10-09 19:14:00,-1.458550,53.370206,12,2,2,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-10-10 19:14:00,-1.476455,53.368902,79,1,2,UK,Android,5,Three,PostPaid,Passive,NotInUse
2020-10-11 19:14:00,-1.437087,53.377294,30,2,4,UK,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-10-12 19:14:00,-1.486225,53.387581,54,2,4,Resident,Android,2,O2,PrePaid,Active,Data
2020-10-13 19:14:00,-1.482912,53.377331,50,2,3,Resident,Android,6,MVNO,PrePaid,Passive,NotInUse
2020-10-14 19:14:00,-1.509012,53.389122,26,1,3,Resident,Apple,1,BT,PostPaid,Passive,NotInUse
2020-10-15 19:14:00,-1.447290,53.367665,84,1,1,Non-UK,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-10-16 19:14:00,-1.506054,53.380727,72,1,4,Resident,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-10-17 19:14:00,-1.511046,53.382468,41,2,4,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-10-18 19:14:00,-1.470273,53.370758,68,2,3,Resident,Apple,5,Three,PrePaid,Passive,NotInUse
2020-10-19 19:14:00,-1.499179,53.374185,32,1,4,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-10-20 19:14:00,-1.438628,53.392015,57,2,5,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-10-21 19:14:00,-1.507521,53.388516,15,1,4,Resident,Android,3,Vodafone,PrePaid,Passive,NotInUse
2020-10-22 19:14:00,-1.492578,53.375353,28,2,1,Resident,Android,2,O2,PrePaid,Passive,NotInUse
2020-10-23 19:14:00,-1.472833,53.370595,27,2,5,Resident,Android,1,BT,PostPaid,Active,Voice
2020-10-24 19:14:00,-1.489189,53.369724,47,1,1,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-10-25 19:14:00,-1.434473,53.367674,83,2,2,Resident,Android,1,BT,PostPaid,Active,Data
2020-10-26 19:14:00,-1.479591,53.379932,38,2,4,UK,Android,2,O2,PostPaid,Passive,NotInUse
2020-10-27 19:14:00,-1.506600,53.379995,65,1,5,Resident,Android,2,O2,PrePaid,Passive,NotInUse
2020-10-28 19:14:00,-1.461436,53.392339,66,1,1,UK,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-10-29 19:14:00,-1.473737,53.369790,80,1,4,Resident,Apple,6,MVNO,PrePaid,Passive,NotInUse
2020-10-30 19:14:00,-1.501330,53.379009,54,1,2,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-10-31 19:14:00,-1.485371,53.381040,31,2,1,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-11-01 19:14:00,-1.490549,53.385778,82,2,4,Resident,Android,1,BT,PrePaid,Passive,NotInUse
2020-11-02 19:14:00,-1.505107,53.382839,35,2,5,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-11-03 19:14:00,-1.438482,53.386609,55,1,3,UK,Android,1,BT,PostPaid,Passive,NotInUse
2020-11-04 19:14:00,-1.495693,53.385002,53,2,4,Resident,Android,5,Three,PostPaid,Active,Data
2020-11-05 19:14:00,-1.467220,53.368305,77,1,1,Non-UK,Android,5,Three,PostPaid,Passive,NotInUse
2020-11-06 19:14:00,-1.454027,53.373007,51,1,2,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-11-07 19:14:00,-1.471916,53.371243,57,1,5,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-11-08 19:14:00,-1.469130,53.374837,59,1,3,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-11-09 19:14:00,-1.499571,53.374819,13,2,3,Resident,Apple,2,O2,PostPaid,Passive,NotInUse
2020-11-10 19:14:00,-1.455941,53.391838,18,1,4,Resident,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-11-11 19:14:00,-1.486086,53.377305,40,1,5,UK,Android,2,O2,PrePaid,Passive,NotInUse
2020-11-12 19:14:00,-1.502092,53.387632,41,1,4,Resident,Apple,2,O2,PostPaid,Passive,NotInUse
2020-11-13 19:14:00,-1.503605,53.384892,28,U,4,Resident,Apple,1,BT,PostPaid,Passive,NotInUse
2020-11-14 19:14:00,-1.470371,53.383439,79,2,3,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-11-15 19:14:00,-1.514953,53.382375,39,U,3,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-11-16 19:14:00,-1.458991,53.386087,29,2,1,UK,Android,4,EE,PostPaid,Passive,NotInUse
2020-11-17 19:14:00,-1.469982,53.391231,50,1,2,UK,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-11-18 19:14:00,-1.474698,53.391779,17,2,4,UK,Android,4,EE,PostPaid,Passive,NotInUse
2020-11-19 19:14:00,-1.460077,53.376499,51,2,3,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-11-20 19:14:00,-1.446977,53.371668,28,1,1,UK,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-11-21 19:14:00,-1.505910,53.380353,76,2,5,Resident,Android,6,MVNO,PrePaid,Passive,NotInUse
2020-11-22 19:14:00,-1.452401,53.384523,63,1,4,UK,Apple,5,Three,PostPaid,Passive,NotInUse
2020-11-23 19:14:00,-1.469102,53.384204,32,1,4,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-11-24 19:14:00,-1.479007,53.370698,45,2,4,Resident,Android,2,O2,PrePaid,Passive,NotInUse
2020-11-25 19:14:00,-1.437451,53.376157,85,2,4,UK,Android,6,MVNO,PostPaid,Passive,NotInUse
2020-11-26 19:14:00,-1.500098,53.381773,12,1,3,Resident,Apple,2,O2,PostPaid,Passive,NotInUse
2020-11-27 19:14:00,-1.459849,53.373013,70,1,3,Resident,Android,4,EE,PrePaid,Passive,NotInUse
2020-11-28 19:14:00,-1.482610,53.371327,32,1,5,Resident,Android,4,EE,PostPaid,Passive,NotInUse
2020-11-29 19:14:00,-1.498333,53.369565,20,2,4,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-11-30 19:14:00,-1.482532,53.382235,16,2,1,Resident,Android,2,O2,PostPaid,Passive,NotInUse
2020-12-01 19:14:00,-1.451945,53.392093,61,1,2,Resident,Android,5,Three,PostPaid,Passive,NotInUse
2020-12-02 19:14:00,-1.452249,53.391199,20,2,3,Resident,Android,4,EE,PrePaid,Passive,NotInUse
2020-12-03 19:14:00,-1.471315,53.375976,55,2,1,Resident,Android,4,EE,PostPaid,Active,Data
2020-12-04 19:14:00,-1.498645,53.382764,75,2,2,UK,Android,3,Vodafone,PrePaid,Passive,NotInUse
2020-12-05 19:14:00,-1.474122,53.382368,44,2,5,Non-UK,Android,2,O2,PostPaid,Passive,NotInUse
2020-12-06 19:14:00,-1.495225,53.384600,35,2,5,UK,Apple,6,MVNO,PostPaid,Passive,NotInUse
2020-12-07 19:14:00,-1.443327,53.383852,68,U,5,UK,Apple,4,EE,PostPaid,Passive,NotInUse
2020-12-08 19:14:00,-1.481655,53.373744,31,2,2,Resident,Android,4,EE,PostPaid,Active,Voice
2020-12-09 19:14:00,-1.491064,53.375713,64,2,1,Resident,Android,3,Vodafone,PrePaid,Passive,NotInUse
2020-12-10 19:14:00,-1.487430,53.391614,13,1,1,Resident,Android,1,BT,PostPaid,Active,Voice
2020-12-11 19:14:00,-1.459169,53.380250,32,1,4,UK,Android,4,EE,PostPaid,Passive,NotInUse
2020-12-12 19:14:00,-1.437505,53.371083,64,1,4,UK,Android,3,Vodafone,PostPaid,Active,Data
2020-12-13 19:14:00,-1.456352,53.390687,71,2,4,Resident,Android,2,O2,PostPaid,Passive,NotInUse
2020-12-14 19:14:00,-1.443211,53.382659,41,1,4,Resident,Android,3,Vodafone,PostPaid,Passive,NotInUse
2020-12-15 19:14:00,-1.435153,53.389577,73,2,3,Resident,Android,4,EE,PrePaid,Passive,NotInUse
2020-12-16 19:14:00,-1.447752,53.372072,13,1,5,Resident,Android,2,O2,PostPaid,Passive,NotInUse
2020-12-17 19:14:00,-1.488364,53.388371,21,1,4,Resident,Android,2,O2,PostPaid,Active,Voice
2020-12-18 19:14:00,-1.437030,53.371751,18,2,3,Resident,Android,1,BT,PostPaid,Passive,NotInUse
2020-12-19 19:14:00,-1.460987,53.386855,73,1,4,Resident,Apple,1,BT,PrePaid,Passive,NotInUse
2020-12-20 19:14:00,-1.462156,53.371191,60,1,2,UK,Apple,4,EE,PostPaid,Passive,NotInUse
2020-12-21 19:14:00,-1.486727,53.389874,31,1,5,Resident,Apple,5,Three,PrePaid,Passive,NotInUse
