PIckUpDateTime,Longitude,Latitude,Age,Sex,SpendCat,RedidentCat,AppleAndorid,NetworkFlag,NetworkProvider,PrePaidPostPaid,ActivePassive,VoiceData
2020-04-29 04:00:00+00,-1.514454,53.385534,83,1,4,1,2,2,1,2,1,2
2020-04-29 05:00:00+00,-1.460122,53.377681,29,1,5,1,1,2,1,1,2,1
2020-04-29 06:00:00+00,-1.480498,53.452948,60,1,4,1,1,2,1,1,1,2
2020-04-29 06:00:00+00,-1.514973,53.384243,29,1,4,1,1,2,1,1,2,1
2020-04-29 06:00:00+00,-1.464361,53.387486,24,1,1,1,2,2,1,1,1,1
2020-04-29 08:00:00+00,-1.480884,53.475628,26,1,4,1,1,2,1,1,2,1
2020-04-29 08:00:00+00,-1.480412,53.437668,77,1,4,1,2,2,1,1,1,1
2020-04-29 08:00:00+00,-1.480393,53.392658,56,1,3,1,2,2,1,1,2,1
2020-04-29 09:00:00+00,-1.474144,53.389321,43,1,5,1,1,2,1,1,2,1
2020-04-29 09:00:00+00,-1.480641,53.451228,41,1,3,1,1,2,1,2,2,1
2020-04-29 09:00:00+00,-1.480085,53.466328,50,1,5,1,1,2,1,1,1,1
2020-04-29 09:00:00+00,-1.479228,53.460208,47,1,4,1,2,2,1,1,1,1
2020-04-29 11:00:00+00,-1.462669,53.38962,24,1,3,1,2,2,1,1,2,1
2020-04-29 11:00:00+00,-1.479193,53.392248,26,1,2,1,1,2,1,1,2,1
2020-04-29 12:00:00+00,-1.476737,53.374666,60,1,4,1,1,2,1,1,1,2
2020-04-29 14:00:00+00,-1.442736,53.383702,84,1,1,1,1,2,1,1,2,2
2020-04-29 14:00:00+00,-1.491968,53.390818,58,1,3,1,1,2,1,1,1,1
2020-04-29 14:00:00+00,-1.472147,53.391227,44,1,4,1,1,2,1,1,1,1
2020-04-29 14:00:00+00,-1.480364,53.465638,54,1,2,1,2,2,1,1,2,1
2020-04-29 16:00:00+00,-1.502529,53.38122,40,1,5,1,2,2,1,1,2,1
2020-04-29 17:00:00+00,-1.491084,53.377473,43,1,1,1,2,2,1,1,2,1
2020-04-29 17:00:00+00,-1.448804,53.381702,33,1,5,1,1,2,1,1,1,1
2020-04-29 17:00:00+00,-1.47965,53.496088,54,1,3,1,1,2,1,1,2,1
2020-04-29 17:00:00+00,-1.480243,53.453938,55,1,1,1,1,2,1,2,2,1
2020-04-29 17:00:00+00,-1.480339,53.435778,41,1,5,1,1,2,1,1,2,1
2020-04-29 17:00:00+00,-1.480744,53.512328,47,1,5,1,2,2,1,1,2,1
2020-04-29 18:00:00+00,-1.443861,53.385695,60,1,2,1,2,2,1,1,2,2
2020-04-29 18:00:00+00,-1.479119,53.433858,28,1,4,1,2,2,1,1,2,1
2020-04-29 18:00:00+00,-1.480352,53.397278,64,1,2,1,2,2,1,2,1,1
2020-04-29 19:00:00+00,-1.444982,53.391225,45,1,4,1,2,2,1,2,1,1
2020-04-29 19:00:00+00,-1.512896,53.379198,41,1,5,1,2,2,1,1,1,2
2020-04-29 19:00:00+00,-1.479389,53.405988,16,1,3,1,1,2,1,1,2,1
2020-04-29 21:00:00+00,-1.497873,53.375028,56,1,1,1,2,2,1,1,1,1
2020-04-29 22:00:00+00,-1.500062,53.372665,50,1,5,1,2,2,1,1,2,1
2020-04-29 22:00:00+00,-1.493987,53.372574,59,1,4,1,1,2,1,1,2,1
2020-04-29 22:00:00+00,-1.457329,53.37588,41,1,3,1,1,2,1,1,1,1
2020-04-29 12:00:00+00,-1.480365,53.415498,46,1,1,2,2,2,1,1,2,1
2020-04-29 12:00:00+00,-1.48039,53.438828,17,1,1,2,2,2,1,1,1,2
2020-04-29 12:00:00+00,-1.474832,53.395429,16,1,1,2,1,2,1,1,2,1
2020-04-29 14:00:00+00,-1.480337,53.374598,69,1,3,2,1,2,1,2,2,1
2020-04-29 14:00:00+00,-1.480072,53.399458,39,1,2,2,2,2,1,1,1,1
2020-04-29 14:00:00+00,-1.475175,53.410999,56,1,5,2,2,2,1,1,2,1
2020-04-29 16:00:00+00,-1.479935,53.439158,73,1,1,2,2,2,1,1,1,1
2020-04-29 16:00:00+00,-1.47992,53.424528,54,1,5,2,1,2,1,1,1,1
2020-04-29 10:00:00+00,-1.475879,53.413999,22,1,1,3,1,2,1,1,1,1
2020-04-29 10:00:00+00,-1.475312,53.391129,62,1,4,3,1,2,1,1,1,1
2020-04-29 11:00:00+00,-1.480084,53.422158,40,1,1,3,2,2,1,1,1,1
2020-04-29 14:00:00+00,-1.475139,53.393389,82,1,5,3,2,2,1,1,2,1
2020-04-29 14:00:00+00,-1.474831,53.419529,39,1,2,3,1,2,1,1,2,1
2020-04-29 16:00:00+00,-1.474911,53.414319,35,1,1,3,1,2,1,1,2,1
2020-04-29 00:00:00+00,-1.475347,53.404919,58,1,1,1,1,3,1,1,1,1
2020-04-29 00:00:00+00,-1.48026,53.499428,34,1,3,1,2,3,1,1,1,1
2020-04-29 00:00:00+00,-1.489004,53.376182,24,1,3,1,1,3,1,1,1,1
2020-04-29 00:00:00+00,-1.46923,53.387215,35,1,2,1,1,3,1,2,1,2
2020-04-29 01:00:00+00,-1.479565,53.411638,34,1,1,1,2,3,1,1,1,2
2020-04-29 01:00:00+00,-1.490657,53.368863,40,1,2,1,1,3,1,1,1,1
2020-04-29 01:00:00+00,-1.436893,53.368755,65,1,4,1,2,3,1,1,2,1
2020-04-29 02:00:00+00,-1.475736,53.390439,65,1,3,1,1,3,1,1,2,2
2020-04-29 02:00:00+00,-1.45711,53.373746,59,1,2,1,2,3,1,1,1,1
2020-04-29 03:00:00+00,-1.479486,53.500108,30,1,2,1,2,3,1,1,2,1
2020-04-29 03:00:00+00,-1.462011,53.38475,81,1,5,1,1,3,1,1,2,1
2020-04-29 03:00:00+00,-1.471567,53.369048,36,1,4,1,2,3,1,1,2,1
2020-04-29 03:00:00+00,-1.458709,53.368177,37,1,3,1,2,3,1,1,2,1
2020-04-29 03:00:00+00,-1.498677,53.368792,54,1,1,1,2,3,1,1,1,1
2020-04-29 04:00:00+00,-1.51537,53.384824,75,1,5,1,2,3,1,1,2,1
2020-04-29 05:00:00+00,-1.479442,53.402438,37,1,4,1,2,3,1,1,2,1
2020-04-29 05:00:00+00,-1.483928,53.389252,57,1,2,1,2,3,1,1,2,1
2020-04-29 07:00:00+00,-1.48021,53.436258,70,1,2,1,2,3,1,1,1,1
2020-04-29 08:00:00+00,-1.477234,53.368578,65,1,1,1,1,3,1,2,1,1
2020-04-29 08:00:00+00,-1.457462,53.377001,57,1,5,1,2,3,1,1,1,1
2020-04-29 08:00:00+00,-1.467906,53.371833,27,1,1,1,1,3,1,1,2,1
2020-04-29 09:00:00+00,-1.480502,53.392438,39,1,5,1,1,3,1,1,1,1
2020-04-29 10:00:00+00,-1.479935,53.499528,19,1,4,1,1,3,1,1,1,1
2020-04-29 10:00:00+00,-1.47991,53.379488,47,1,2,1,2,3,1,1,1,1
2020-04-29 11:00:00+00,-1.480847,53.376308,85,1,1,1,2,3,1,1,2,1
2020-04-29 11:00:00+00,-1.480365,53.506048,34,1,4,1,2,3,1,1,1,1
2020-04-29 13:00:00+00,-1.442301,53.376681,76,1,5,1,2,3,1,1,2,1
2020-04-29 13:00:00+00,-1.460845,53.377451,67,1,3,1,2,3,1,1,1,1
2020-04-29 13:00:00+00,-1.504422,53.382532,22,1,4,1,2,3,1,1,2,1
2020-04-29 13:00:00+00,-1.487296,53.371472,26,1,1,1,1,3,1,1,1,1
2020-04-29 13:00:00+00,-1.479766,53.428918,16,1,5,1,2,3,1,1,1,1
2020-04-29 15:00:00+00,-1.450774,53.384063,26,1,5,1,2,3,1,1,2,1
2020-04-29 16:00:00+00,-1.508494,53.36876,34,1,2,1,2,3,1,1,1,1
2020-04-29 16:00:00+00,-1.445382,53.384335,24,1,3,1,1,3,1,1,2,1
2020-04-29 17:00:00+00,-1.443719,53.388078,56,1,3,1,1,3,1,1,2,1
2020-04-29 18:00:00+00,-1.48091,53.469928,82,1,3,1,1,3,1,1,2,1
2020-04-29 19:00:00+00,-1.500141,53.37469,46,1,4,1,2,3,1,1,2,1
2020-04-29 19:00:00+00,-1.480988,53.445718,69,1,4,1,2,3,1,1,1,2
2020-04-29 19:00:00+00,-1.480646,53.375938,34,1,2,1,2,3,1,1,2,2
2020-04-29 19:00:00+00,-1.480861,53.404418,39,1,3,1,2,3,1,1,2,1
2020-04-29 19:00:00+00,-1.480608,53.505378,36,1,3,1,2,3,1,1,1,1
2020-04-29 20:00:00+00,-1.490711,53.392165,70,1,3,1,1,3,1,1,1,1
2020-04-29 20:00:00+00,-1.479165,53.378237,75,1,1,1,1,3,1,1,2,1
2020-04-29 20:00:00+00,-1.43881,53.380535,52,1,4,1,1,3,1,1,2,1
2020-04-29 20:00:00+00,-1.463514,53.369618,81,1,1,1,2,3,1,2,2,1
2020-04-29 21:00:00+00,-1.475046,53.399219,24,1,1,1,1,3,1,2,1,2
2020-04-29 21:00:00+00,-1.480485,53.393598,58,1,2,1,2,3,1,1,2,1
2020-04-29 21:00:00+00,-1.46646,53.378424,38,1,5,1,2,3,1,1,1,1
2020-04-29 21:00:00+00,-1.491419,53.371528,52,1,4,1,1,3,1,1,1,1
2020-04-29 22:00:00+00,-1.475761,53.387349,37,1,5,1,2,3,1,1,1,1
2020-04-29 22:00:00+00,-1.480498,53.452948,42,1,5,1,2,3,1,1,2,2
2020-04-29 22:00:00+00,-1.479769,53.403898,55,1,3,1,2,3,1,1,1,1
2020-04-29 22:00:00+00,-1.484341,53.374393,70,1,5,1,1,3,1,1,1,1
2020-04-29 22:00:00+00,-1.463704,53.391363,52,1,4,1,1,3,1,1,2,1
2020-04-29 22:00:00+00,-1.492565,53.368284,17,1,5,1,2,3,1,1,2,1
2020-04-29 23:00:00+00,-1.490628,53.367677,16,1,2,1,1,3,1,1,1,1
2020-04-29 23:00:00+00,-1.449966,53.375441,50,1,2,1,1,3,1,1,1,1
2020-04-29 09:00:00+00,-1.479181,53.428218,49,1,5,2,2,3,1,1,2,1
2020-04-29 09:00:00+00,-1.474837,53.425839,77,1,1,2,1,3,1,1,1,1
2020-04-29 09:00:00+00,-1.475481,53.439349,53,1,5,2,2,3,1,2,1,1
2020-04-29 10:00:00+00,-1.480332,53.454498,45,1,5,2,1,3,1,1,1,1
2020-04-29 13:00:00+00,-1.479522,53.419018,48,1,5,2,2,3,1,1,1,1
2020-04-29 14:00:00+00,-1.479987,53.413408,31,1,3,2,1,3,1,1,2,1
2020-04-29 15:00:00+00,-1.480686,53.509168,30,1,4,2,1,3,1,1,1,1
2020-04-29 15:00:00+00,-1.475431,53.379959,18,1,2,2,1,3,1,1,1,1
2020-04-29 16:00:00+00,-1.479197,53.454818,66,1,1,2,1,3,1,1,1,1
2020-04-29 17:00:00+00,-1.479709,53.452418,48,1,5,2,1,3,1,1,1,1
2020-04-29 17:00:00+00,-1.47983,53.418648,28,1,2,2,2,3,1,1,2,1
2020-04-29 16:00:00+00,-1.475217,53.417819,50,1,3,3,2,3,1,1,1,1
2020-04-29 00:00:00+00,-1.479516,53.459428,63,1,4,1,2,4,1,1,2,1
2020-04-29 00:00:00+00,-1.484341,53.374393,82,1,3,1,2,4,1,1,2,1
2020-04-29 01:00:00+00,-1.463704,53.391363,34,1,1,1,1,4,1,1,2,1
2020-04-29 03:00:00+00,-1.479371,53.455258,22,1,4,1,1,4,1,1,2,1
2020-04-29 03:00:00+00,-1.447048,53.368527,51,1,5,1,2,4,1,2,1,2
2020-04-29 04:00:00+00,-1.514973,53.384243,50,1,3,1,1,4,1,1,2,1
2020-04-29 04:00:00+00,-1.505554,53.375014,39,1,5,1,2,4,1,2,2,1
2020-04-29 06:00:00+00,-1.47938,53.385138,62,1,2,1,2,4,1,1,1,1
2020-04-29 07:00:00+00,-1.46385,53.381872,60,1,2,1,2,4,1,1,1,1
2020-04-29 07:00:00+00,-1.502091,53.386445,33,1,4,1,1,4,1,1,1,1
2020-04-29 07:00:00+00,-1.471246,53.381792,17,1,1,1,2,4,1,1,2,1
2020-04-29 08:00:00+00,-1.49629,53.386564,20,1,3,1,1,4,1,1,2,1
2020-04-29 08:00:00+00,-1.479378,53.515858,18,1,4,1,2,4,1,1,2,1
2020-04-29 08:00:00+00,-1.481023,53.459598,56,1,4,1,2,4,1,1,2,1
2020-04-29 08:00:00+00,-1.479297,53.457068,38,1,4,1,1,4,1,1,2,1
2020-04-29 10:00:00+00,-1.495266,53.367797,39,1,2,1,1,4,1,1,2,1
2020-04-29 10:00:00+00,-1.479737,53.444278,23,1,2,1,2,4,1,1,2,1
2020-04-29 11:00:00+00,-1.491369,53.381832,29,1,3,1,2,4,1,1,1,1
2020-04-29 11:00:00+00,-1.480224,53.455928,71,1,3,1,2,4,1,1,2,1
2020-04-29 11:00:00+00,-1.479398,53.454508,38,1,4,1,2,4,1,1,2,1
2020-04-29 12:00:00+00,-1.480486,53.457738,84,1,2,1,1,4,1,1,1,1
2020-04-29 12:00:00+00,-1.480596,53.466978,70,1,5,1,1,4,1,1,2,1
2020-04-29 12:00:00+00,-1.479518,53.396998,71,1,2,1,2,4,1,1,1,1
2020-04-29 12:00:00+00,-1.480064,53.427678,59,1,2,1,2,4,1,1,2,1
2020-04-29 13:00:00+00,-1.480305,53.384678,35,1,2,1,2,4,1,1,1,1
2020-04-29 13:00:00+00,-1.480775,53.470188,32,1,2,1,2,4,1,1,2,1
2020-04-29 14:00:00+00,-1.479619,53.394198,30,1,5,1,1,4,1,1,2,1
2020-04-29 15:00:00+00,-1.502414,53.391679,27,1,3,1,1,4,1,1,2,1
2020-04-29 15:00:00+00,-1.453042,53.387974,47,1,3,1,2,4,1,1,1,1
2020-04-29 15:00:00+00,-1.480597,53.507068,35,1,5,1,2,4,1,1,1,1
2020-04-29 16:00:00+00,-1.505034,53.38668,30,1,4,1,1,4,1,2,2,1
2020-04-29 16:00:00+00,-1.490202,53.372448,21,1,3,1,1,4,1,1,2,1
2020-04-29 16:00:00+00,-1.480707,53.519448,83,1,1,1,1,4,1,1,1,1
2020-04-29 17:00:00+00,-1.461251,53.387329,55,1,1,1,2,4,1,1,2,1
2020-04-29 17:00:00+00,-1.508087,53.37098,31,1,1,1,1,4,1,1,2,1
2020-04-29 18:00:00+00,-1.481,53.480678,35,1,4,1,2,4,1,1,2,1
2020-04-29 18:00:00+00,-1.480564,53.417078,43,1,3,1,1,4,1,1,2,1
2020-04-29 19:00:00+00,-1.482969,53.371551,38,1,5,1,2,4,1,1,2,2
2020-04-29 19:00:00+00,-1.480459,53.452798,35,1,4,1,2,4,1,1,2,1
2020-04-29 19:00:00+00,-1.479351,53.383278,20,1,1,1,2,4,1,1,1,1
2020-04-29 20:00:00+00,-1.475441,53.432129,17,1,4,1,1,4,1,1,1,1
2020-04-29 20:00:00+00,-1.474922,53.400289,49,1,3,1,2,4,1,1,2,1
2020-04-29 20:00:00+00,-1.466266,53.373289,72,1,4,1,2,4,1,1,2,1
2020-04-29 21:00:00+00,-1.479442,53.402438,36,1,2,1,1,4,1,1,1,1
2020-04-29 21:00:00+00,-1.509341,53.385758,25,1,3,1,1,4,1,1,1,1
2020-04-29 21:00:00+00,-1.491711,53.384481,34,1,3,1,1,4,1,1,1,1
2020-04-29 21:00:00+00,-1.512933,53.389031,32,1,2,1,2,4,1,1,1,1
2020-04-29 22:00:00+00,-1.479406,53.495418,35,1,4,1,1,4,1,1,1,1
2020-04-29 22:00:00+00,-1.47975,53.447628,37,1,1,1,2,4,1,1,1,1
2020-04-29 22:00:00+00,-1.448832,53.378469,68,1,4,1,2,4,1,1,2,1
2020-04-29 23:00:00+00,-1.475529,53.371134,41,1,2,1,1,4,1,1,2,1
2020-04-29 23:00:00+00,-1.51469,53.38404,82,1,1,1,1,4,1,1,1,2
2020-04-29 10:00:00+00,-1.479045,53.438368,46,1,1,2,2,4,1,1,2,1
2020-04-29 10:00:00+00,-1.479864,53.441568,75,1,4,2,2,4,1,1,1,1
2020-04-29 10:00:00+00,-1.479925,53.412868,30,1,5,2,2,4,1,2,1,2
2020-04-29 11:00:00+00,-1.475468,53.411139,64,1,3,2,1,4,1,1,1,1
2020-04-29 12:00:00+00,-1.474811,53.429459,36,1,1,2,1,4,1,1,1,1
2020-04-29 13:00:00+00,-1.474978,53.379539,53,1,1,2,2,4,1,1,2,2
2020-04-29 14:00:00+00,-1.475028,53.378179,20,1,3,2,1,4,1,2,1,1
2020-04-29 17:00:00+00,-1.480482,53.495118,59,1,2,2,1,4,1,1,2,1
2020-04-29 11:00:00+00,-1.475244,53.416089,63,1,5,3,1,4,1,1,2,1
2020-04-29 11:00:00+00,-1.474871,53.390209,65,1,1,3,1,4,1,2,1,1
2020-04-29 16:00:00+00,-1.479601,53.401058,33,1,2,3,1,4,1,1,1,1
2020-04-29 00:00:00+00,-1.454888,53.381316,42,1,1,1,1,5,1,2,2,1
2020-04-29 00:00:00+00,-1.498551,53.368021,33,1,3,1,2,5,1,1,1,1
2020-04-29 01:00:00+00,-1.436896,53.379819,57,1,5,1,1,5,1,1,2,1
2020-04-29 01:00:00+00,-1.44675,53.368737,16,1,1,1,1,5,1,1,2,1
2020-04-29 02:00:00+00,-1.436982,53.380091,57,1,3,1,1,5,1,1,2,1
2020-04-29 02:00:00+00,-1.474075,53.383338,21,1,3,1,1,5,1,1,1,1
2020-04-29 02:00:00+00,-1.464361,53.387486,22,1,3,1,1,5,1,1,2,1
2020-04-29 02:00:00+00,-1.448832,53.378469,45,1,5,1,1,5,1,1,2,1
2020-04-29 03:00:00+00,-1.480256,53.421348,47,1,5,1,1,5,1,1,1,1
2020-04-29 04:00:00+00,-1.475495,53.385898,25,1,2,1,1,5,1,1,2,1
2020-04-29 04:00:00+00,-1.439415,53.377359,32,1,5,1,2,5,1,1,2,1
2020-04-29 05:00:00+00,-1.439402,53.38263,16,1,3,1,1,5,1,1,2,1
2020-04-29 05:00:00+00,-1.456404,53.385986,62,1,3,1,2,5,1,1,2,1
2020-04-29 05:00:00+00,-1.446283,53.386594,61,1,2,1,2,5,1,1,1,1
2020-04-29 05:00:00+00,-1.514587,53.369997,85,1,1,1,1,5,1,1,2,2
2020-04-29 06:00:00+00,-1.479494,53.514688,48,1,5,1,1,5,1,1,1,2
2020-04-29 06:00:00+00,-1.514128,53.378872,17,1,4,1,2,5,1,1,1,2
2020-04-29 07:00:00+00,-1.480769,53.445308,17,1,5,1,1,5,1,1,2,1
2020-04-29 08:00:00+00,-1.508343,53.368223,63,1,5,1,1,5,1,2,1,1
2020-04-29 08:00:00+00,-1.505797,53.386888,49,1,4,1,2,5,1,1,2,1
2020-04-29 08:00:00+00,-1.479075,53.494548,50,1,5,1,2,5,1,1,2,1
2020-04-29 09:00:00+00,-1.501754,53.384899,71,1,5,1,2,5,1,2,1,1
2020-04-29 09:00:00+00,-1.476647,53.372044,70,1,4,1,1,5,1,1,1,1
2020-04-29 09:00:00+00,-1.484439,53.378683,50,1,4,1,2,5,1,2,1,1
2020-04-29 09:00:00+00,-1.479148,53.379818,59,1,5,1,1,5,1,1,2,1
2020-04-29 09:00:00+00,-1.480549,53.394218,32,1,5,1,2,5,1,1,1,1
2020-04-29 09:00:00+00,-1.480594,53.428068,77,1,2,1,1,5,1,1,1,1
2020-04-29 10:00:00+00,-1.477141,53.392082,75,1,5,1,2,5,1,2,1,1
2020-04-29 10:00:00+00,-1.44495,53.380008,30,1,4,1,2,5,1,1,1,1
2020-04-29 10:00:00+00,-1.480258,53.519098,41,1,1,1,2,5,1,2,2,1
2020-04-29 11:00:00+00,-1.44296,53.387483,32,1,1,1,2,5,1,1,1,1
2020-04-29 12:00:00+00,-1.469895,53.386408,48,1,3,1,2,5,1,1,2,1
2020-04-29 12:00:00+00,-1.474931,53.374296,41,1,5,1,1,5,1,1,1,1
2020-04-29 12:00:00+00,-1.483757,53.388124,19,1,2,1,1,5,1,1,2,1
2020-04-29 13:00:00+00,-1.471201,53.385925,19,1,4,1,1,5,1,1,2,1
2020-04-29 14:00:00+00,-1.47931,53.490718,32,1,5,1,1,5,1,1,2,1
2020-04-29 14:00:00+00,-1.479751,53.489388,67,1,5,1,1,5,1,1,1,1
2020-04-29 14:00:00+00,-1.479384,53.402498,61,1,3,1,1,5,1,1,1,1
2020-04-29 14:00:00+00,-1.479594,53.474778,52,1,1,1,1,5,1,2,1,1
2020-04-29 15:00:00+00,-1.476057,53.37147,33,1,4,1,1,5,1,1,2,1
2020-04-29 15:00:00+00,-1.477418,53.369517,59,1,1,1,2,5,1,1,2,1
2020-04-29 15:00:00+00,-1.480448,53.495848,77,1,4,1,1,5,1,2,2,2
2020-04-29 16:00:00+00,-1.473381,53.375138,78,1,2,1,2,5,1,1,1,1
2020-04-29 16:00:00+00,-1.479666,53.458688,55,1,3,1,1,5,1,1,2,2
2020-04-29 16:00:00+00,-1.480531,53.492538,27,1,3,1,2,5,1,2,1,1
2020-04-29 17:00:00+00,-1.508882,53.37183,65,1,2,1,2,5,1,1,1,1
2020-04-29 17:00:00+00,-1.480459,53.374338,83,1,5,1,2,5,1,1,2,1
2020-04-29 18:00:00+00,-1.441367,53.37346,66,1,1,1,2,5,1,1,1,1
2020-04-29 18:00:00+00,-1.462343,53.387874,32,1,3,1,1,5,1,2,1,1
2020-04-29 18:00:00+00,-1.480924,53.396718,30,1,3,1,2,5,1,1,1,1
