PIckUpDateTime,Latitude,Longitude,Age,Sex,SpendCat,RedidentCat,AppleAndorid,NetworkFlag,NetworkProvider,PrePaidPostPaid,ActivePassive,VoiceData
2020-04-29 17:00:00+00,-1.479725,53.487625,75,2,2,1,1,2,1,1,1,1
2020-04-29 19:00:00+00,-1.438599,53.38452,50,1,1,1,1,2,1,1,2,1
2020-04-29 19:00:00+00,-1.457639,53.511745,76,1,2,1,1,2,1,1,1,2
2020-04-29 19:00:00+00,-1.470746,53.407045,62,1,2,1,1,2,1,1,1,1
2020-04-29 19:00:00+00,-1.471667,53.463515,52,1,3,1,1,2,1,1,2,1
2020-04-29 20:00:00+00,-1.476968,53.385417,38,2,2,1,1,2,1,1,1,1
2020-04-29 20:00:00+00,-1.445911,53.378539,53,1,3,1,1,2,1,2,2,1
2020-04-29 20:00:00+00,-1.433125,53.381983,28,1,4,1,1,2,1,1,1,1
2020-04-29 20:00:00+00,-1.438374,53.38947,80,2,2,1,1,2,1,1,1,1
2020-04-29 21:00:00+00,-1.429442,53.385439,73,1,1,1,1,2,1,1,1,1
2020-04-29 22:00:00+00,-1.459461,53.37498,73,1,5,1,1,2,1,1,1,1
2020-04-29 23:00:00+00,-1.428835,53.380298,16,2,1,1,1,2,1,1,1,1
2020-04-29 23:00:00+00,-1.476829,53.370483,40,2,2,1,1,2,1,1,1,1
2020-04-29 23:00:00+00,-1.514196,53.378477,21,1,5,1,1,2,1,1,2,1
2020-04-29 09:00:00+00,-1.459614,53.405995,56,2,5,2,1,2,1,1,2,1
2020-04-29 10:00:00+00,-1.459972,53.461785,71,2,3,2,1,2,1,1,2,1
2020-04-29 11:00:00+00,-1.475611,53.479855,61,2,2,2,1,2,1,1,1,2
2020-04-29 12:00:00+00,-1.466497,53.457555,76,2,4,2,1,2,1,1,2,1
2020-04-29 12:00:00+00,-1.457407,53.450875,56,2,5,2,1,2,1,1,2,1
2020-04-29 13:00:00+00,-1.458053,53.478025,39,2,1,2,1,2,1,2,1,1
2020-04-29 14:00:00+00,-1.463717,53.487595,26,2,2,2,1,2,1,1,2,1
2020-04-29 15:00:00+00,-1.477831,53.450365,65,1,1,2,1,2,1,1,2,1
2020-04-29 15:00:00+00,-1.472261,53.494545,67,2,5,2,1,2,1,2,2,1
2020-04-29 15:00:00+00,-1.483006,53.430515,42,2,5,2,1,2,1,2,1,2
2020-04-29 12:00:00+00,-1.476706,53.475395,84,2,5,3,1,2,1,1,1,1
2020-04-29 13:00:00+00,-1.469797,53.407615,46,2,5,3,1,2,1,1,1,1
2020-04-29 13:00:00+00,-1.473598,53.427627,50,1,4,3,1,2,1,1,2,1
2020-04-29 13:00:00+00,-1.474567,53.445347,62,2,2,3,1,2,1,1,2,1
2020-04-29 01:00:00+00,-1.476865,53.388037,31,2,4,1,1,3,1,1,2,2
2020-04-29 01:00:00+00,-1.427651,53.395421,23,2,1,1,1,3,1,2,2,1
2020-04-29 02:00:00+00,-1.430717,53.394598,39,2,5,1,1,3,1,1,2,2
2020-04-29 03:00:00+00,-1.509333,53.382857,45,1,2,1,1,3,1,1,2,1
2020-04-29 03:00:00+00,-1.486475,53.388403,19,1,1,1,1,3,1,1,1,1
2020-04-29 03:00:00+00,-1.467079,53.385805,80,1,3,1,1,3,1,1,2,1
2020-04-29 03:00:00+00,-1.492153,53.384591,51,2,3,1,1,3,1,1,1,1
2020-04-29 04:00:00+00,-1.491312,53.389681,80,1,4,1,1,3,1,1,2,1
2020-04-29 04:00:00+00,-1.461256,53.39708,42,2,1,1,1,3,1,2,2,1
2020-04-29 05:00:00+00,-1.51786,53.393017,50,1,4,1,1,3,1,1,2,1
2020-04-29 05:00:00+00,-1.46597,53.379256,17,2,4,1,1,3,1,1,1,2
2020-04-29 05:00:00+00,-1.449837,53.390964,25,1,5,1,1,3,1,1,2,1
2020-04-29 05:00:00+00,-1.494325,53.396225,25,1,1,1,1,3,1,1,2,1
2020-04-29 06:00:00+00,-1.419012,53.395151,21,1,4,1,1,3,1,1,1,1
2020-04-29 07:00:00+00,-1.479496,53.378114,43,2,1,1,1,3,1,1,1,1
2020-04-29 07:00:00+00,-1.519271,53.367922,27,1,3,1,1,3,1,1,2,2
2020-04-29 07:00:00+00,-1.480058,53.382491,38,1,4,1,1,3,1,2,1,1
2020-04-29 08:00:00+00,-1.503864,53.384495,24,3,2,1,1,3,1,1,2,1
2020-04-29 08:00:00+00,-1.466504,53.400495,33,2,2,1,1,3,1,1,1,1
2020-04-29 09:00:00+00,-1.462538,53.378959,64,2,3,1,1,3,1,1,1,1
2020-04-29 09:00:00+00,-1.483474,53.383345,41,2,5,1,1,3,1,1,1,1
2020-04-29 10:00:00+00,-1.488739,53.368364,73,1,3,1,1,3,1,1,1,1
2020-04-29 10:00:00+00,-1.418354,53.375449,41,2,2,1,1,3,1,1,1,1
2020-04-29 10:00:00+00,-1.44771,53.396265,61,2,2,1,1,3,1,1,1,1
2020-04-29 10:00:00+00,-1.471689,53.460995,28,1,3,1,1,3,1,1,1,1
2020-04-29 10:00:00+00,-1.457885,53.407085,59,2,4,1,1,3,1,1,2,1
2020-04-29 11:00:00+00,-1.467832,53.511175,64,2,1,1,1,3,1,1,1,1
2020-04-29 11:00:00+00,-1.470909,53.510375,18,2,4,1,1,3,1,1,2,1
2020-04-29 12:00:00+00,-1.516126,53.377403,39,1,1,1,1,3,1,1,1,1
2020-04-29 12:00:00+00,-1.434533,53.387347,76,2,3,1,1,3,1,1,2,1
2020-04-29 12:00:00+00,-1.462871,53.421875,43,2,2,1,1,3,1,1,2,1
2020-04-29 12:00:00+00,-1.459021,53.514785,46,2,5,1,1,3,1,1,2,1
2020-04-29 13:00:00+00,-1.42901,53.363942,42,2,1,1,1,3,1,2,2,1
2020-04-29 13:00:00+00,-1.440996,53.377589,28,2,2,1,1,3,1,1,2,1
2020-04-29 14:00:00+00,-1.433313,53.380256,41,1,1,1,1,3,1,1,2,2
2020-04-29 14:00:00+00,-1.465193,53.469925,21,2,4,1,1,3,1,1,2,1
2020-04-29 15:00:00+00,-1.42295,53.38663,55,2,1,1,1,3,1,1,2,1
2020-04-29 15:00:00+00,-1.515833,53.381953,38,2,5,1,1,3,1,1,1,1
2020-04-29 16:00:00+00,-1.474998,53.463075,41,1,1,1,1,3,1,1,2,1
2020-04-29 17:00:00+00,-1.430762,53.394306,61,2,4,1,1,3,1,1,1,1
2020-04-29 17:00:00+00,-1.444667,53.38856,25,2,4,1,1,3,1,2,1,1
2020-04-29 17:00:00+00,-1.515517,53.384395,42,1,2,1,1,3,1,1,2,1
2020-04-29 17:00:00+00,-1.514721,53.374731,30,1,4,1,1,3,1,1,2,1
2020-04-29 18:00:00+00,-1.498542,53.386102,35,2,4,1,1,3,1,1,1,1
2020-04-29 18:00:00+00,-1.473321,53.36632,31,1,5,1,1,3,1,1,2,1
2020-04-29 18:00:00+00,-1.510326,53.393714,62,1,4,1,1,3,1,1,2,1
2020-04-29 18:00:00+00,-1.469942,53.492095,59,1,5,1,1,3,1,1,2,1
2020-04-29 18:00:00+00,-1.480855,53.453965,27,3,4,1,1,3,1,1,1,1
2020-04-29 18:00:00+00,-1.482276,53.487235,18,1,4,1,1,3,1,1,1,1
2020-04-29 19:00:00+00,-1.502999,53.385184,43,1,3,1,1,3,1,1,1,1
2020-04-29 19:00:00+00,-1.445393,53.364867,32,2,4,1,1,3,1,1,2,1
2020-04-29 20:00:00+00,-1.505348,53.397068,62,2,4,1,1,3,1,1,2,1
2020-04-29 20:00:00+00,-1.45895,53.380876,70,2,1,1,1,3,1,1,1,1
2020-04-29 21:00:00+00,-1.492272,53.396893,42,2,3,1,1,3,1,1,1,2
2020-04-29 21:00:00+00,-1.491868,53.378314,57,1,1,1,1,3,1,1,2,1
2020-04-29 21:00:00+00,-1.46153,53.364647,61,2,1,1,1,3,1,1,1,1
2020-04-29 23:00:00+00,-1.487728,53.380578,43,1,2,1,1,3,1,1,2,1
2020-04-29 23:00:00+00,-1.434936,53.371087,65,1,1,1,1,3,1,1,1,1
2020-04-29 23:00:00+00,-1.479343,53.387387,78,1,5,1,1,3,1,1,2,2
2020-04-29 23:00:00+00,-1.50543,53.377825,37,2,4,1,1,3,1,1,2,1
2020-04-29 23:00:00+00,-1.515353,53.37284,57,2,5,1,1,3,1,1,2,2
2020-04-29 09:00:00+00,-1.483899,53.378685,65,2,3,2,1,3,1,1,1,1
2020-04-29 10:00:00+00,-1.484317,53.488835,65,1,1,2,1,3,1,1,1,1
2020-04-29 10:00:00+00,-1.46498,53.407565,85,1,4,2,1,3,1,1,2,1
2020-04-29 10:00:00+00,-1.464949,53.397255,47,2,1,2,1,3,1,2,1,1
2020-04-29 11:00:00+00,-1.460128,53.437365,35,1,1,2,1,3,1,2,1,1
2020-04-29 11:00:00+00,-1.471426,53.458315,32,2,4,2,1,3,1,1,1,1
2020-04-29 12:00:00+00,-1.480189,53.418395,59,2,5,2,1,3,1,1,1,1
2020-04-29 12:00:00+00,-1.466338,53.480755,56,1,5,2,1,3,1,1,2,1
2020-04-29 13:00:00+00,-1.470403,53.412467,20,1,1,2,1,3,1,1,2,1
2020-04-29 14:00:00+00,-1.467563,53.400665,69,2,1,2,1,3,1,1,2,2
2020-04-29 15:00:00+00,-1.471519,53.471575,43,2,5,2,1,3,1,1,2,2
2020-04-29 15:00:00+00,-1.472319,53.503315,73,2,5,2,1,3,1,1,1,1
2020-04-29 15:00:00+00,-1.474752,53.375997,61,1,1,2,1,3,1,1,1,2
2020-04-29 16:00:00+00,-1.464742,53.493615,16,2,3,2,1,3,1,1,1,1
2020-04-29 17:00:00+00,-1.46666,53.454555,51,2,5,2,1,3,1,2,1,1
2020-04-29 14:00:00+00,-1.457449,53.471005,40,1,4,3,1,3,1,1,2,1
2020-04-29 00:00:00+00,-1.429229,53.395221,18,2,3,1,1,4,1,1,2,1
2020-04-29 00:00:00+00,-1.503011,53.393067,32,2,2,1,1,4,1,1,1,1
2020-04-29 01:00:00+00,-1.449047,53.385695,24,2,2,1,1,4,1,2,1,1
2020-04-29 01:00:00+00,-1.440611,53.393693,58,1,2,1,1,4,1,1,2,2
2020-04-29 01:00:00+00,-1.448876,53.37406,69,2,4,1,1,4,1,1,2,1
2020-04-29 02:00:00+00,-1.458259,53.374689,67,1,5,1,1,4,1,1,2,1
2020-04-29 02:00:00+00,-1.462648,53.393544,66,1,5,1,1,4,1,1,1,1
2020-04-29 02:00:00+00,-1.500867,53.38013,18,2,3,1,1,4,1,1,2,1
2020-04-29 02:00:00+00,-1.490904,53.385961,54,1,3,1,1,4,1,1,2,1
2020-04-29 03:00:00+00,-1.433125,53.381983,54,1,2,1,1,4,1,1,2,1
2020-04-29 04:00:00+00,-1.43231,53.383929,32,2,2,1,1,4,1,1,1,1
2020-04-29 04:00:00+00,-1.455276,53.36878,20,2,1,1,1,4,1,1,2,1
2020-04-29 04:00:00+00,-1.5103,53.389052,51,2,1,1,1,4,1,1,1,1
2020-04-29 04:00:00+00,-1.474845,53.376854,56,1,2,1,1,4,1,1,2,1
2020-04-29 05:00:00+00,-1.494269,53.393859,45,1,3,1,1,4,1,1,2,1
2020-04-29 05:00:00+00,-1.51382,53.381981,23,2,2,1,1,4,1,1,2,1
2020-04-29 05:00:00+00,-1.514196,53.378477,44,2,3,1,1,4,1,1,1,1
2020-04-29 06:00:00+00,-1.487408,53.376892,35,2,5,1,1,4,1,1,1,1
2020-04-29 07:00:00+00,-1.486705,53.378299,59,2,1,1,1,4,1,1,1,1
2020-04-29 07:00:00+00,-1.461811,53.388363,60,2,1,1,1,4,1,1,1,1
2020-04-29 08:00:00+00,-1.517205,53.396485,49,1,1,1,1,4,1,1,2,1
2020-04-29 08:00:00+00,-1.47372,53.501355,52,2,4,1,1,4,1,1,1,1
2020-04-29 09:00:00+00,-1.464598,53.447895,29,1,4,1,1,4,1,1,1,1
2020-04-29 10:00:00+00,-1.483702,53.444545,62,1,4,1,1,4,1,1,2,1
2020-04-29 11:00:00+00,-1.465382,53.376435,44,2,3,1,1,4,1,1,2,1
2020-04-29 11:00:00+00,-1.46369,53.405385,43,1,5,1,1,4,1,2,1,1
2020-04-29 12:00:00+00,-1.47241,53.393385,78,1,2,1,1,4,1,1,1,1
2020-04-29 12:00:00+00,-1.467059,53.455825,36,1,4,1,1,4,1,2,2,1
2020-04-29 13:00:00+00,-1.468634,53.376105,48,1,1,1,1,4,1,1,1,1
2020-04-29 13:00:00+00,-1.476349,53.507015,74,1,4,1,1,4,1,1,1,1
2020-04-29 13:00:00+00,-1.472186,53.426245,56,1,1,1,1,4,1,2,1,2
2020-04-29 14:00:00+00,-1.469575,53.497185,42,1,1,1,1,4,1,1,1,1
2020-04-29 14:00:00+00,-1.478055,53.394385,30,1,2,1,1,4,1,1,1,1
2020-04-29 15:00:00+00,-1.460669,53.382554,56,1,1,1,1,4,1,1,1,1
2020-04-29 15:00:00+00,-1.483969,53.493795,28,1,4,1,1,4,1,1,2,1
2020-04-29 15:00:00+00,-1.468613,53.491895,49,2,5,1,1,4,1,1,1,2
2020-04-29 15:00:00+00,-1.478881,53.445665,54,2,5,1,1,4,1,1,1,1
2020-04-29 17:00:00+00,-1.453087,53.375574,40,2,3,1,1,4,1,1,2,1
2020-04-29 17:00:00+00,-1.462995,53.425525,58,1,2,1,1,4,1,1,2,1
2020-04-29 19:00:00+00,-1.480768,53.448415,61,2,3,1,1,4,1,1,1,1
2020-04-29 19:00:00+00,-1.463142,53.513335,49,2,1,1,1,4,1,1,2,1
2020-04-29 21:00:00+00,-1.492074,53.369828,33,2,3,1,1,4,1,1,1,1
2020-04-29 21:00:00+00,-1.450204,53.372731,24,2,2,1,1,4,1,1,2,1
2020-04-29 21:00:00+00,-1.495618,53.381453,26,1,3,1,1,4,1,1,1,1
2020-04-29 22:00:00+00,-1.488956,53.381032,31,2,4,1,1,4,1,1,2,1
2020-04-29 22:00:00+00,-1.496471,53.384918,57,1,1,1,1,4,1,1,2,1
2020-04-29 22:00:00+00,-1.436448,53.377968,52,1,4,1,1,4,1,1,2,1
2020-04-29 22:00:00+00,-1.474462,53.397139,47,3,5,1,1,4,1,1,2,1
2020-04-29 23:00:00+00,-1.459142,53.384784,68,1,1,1,1,4,1,1,1,1
2020-04-29 23:00:00+00,-1.477306,53.395033,83,1,5,1,1,4,1,1,1,1
2020-04-29 23:00:00+00,-1.47744,53.393754,57,2,2,1,1,4,1,1,2,1
2020-04-29 23:00:00+00,-1.44206,53.377827,21,1,4,1,1,4,1,1,1,1
2020-04-29 10:00:00+00,-1.478761,53.509495,53,1,3,2,1,4,1,1,2,1
2020-04-29 10:00:00+00,-1.476889,53.378245,79,2,1,2,1,4,1,1,1,1
2020-04-29 11:00:00+00,-1.474787,53.406975,61,1,3,2,1,4,1,1,2,1
2020-04-29 11:00:00+00,-1.468285,53.493545,66,1,3,2,1,4,1,1,1,1
2020-04-29 14:00:00+00,-1.468007,53.429977,42,2,5,2,1,4,1,1,2,1
2020-04-29 15:00:00+00,-1.470572,53.397547,32,2,2,2,1,4,1,1,2,1
2020-04-29 16:00:00+00,-1.472835,53.451667,42,1,1,2,1,4,1,2,1,1
2020-04-29 16:00:00+00,-1.473044,53.381447,34,2,1,2,1,4,1,1,2,1
2020-04-29 17:00:00+00,-1.470274,53.405045,31,1,1,2,1,4,1,2,2,1
2020-04-29 17:00:00+00,-1.471203,53.436287,22,2,1,2,1,4,1,1,1,1
2020-04-29 15:00:00+00,-1.460592,53.480995,18,2,4,3,1,4,1,1,2,1
2020-04-29 15:00:00+00,-1.472547,53.395107,35,1,1,3,1,4,1,1,2,2
2020-04-29 16:00:00+00,-1.468102,53.478365,32,1,5,3,1,4,1,1,1,1
2020-04-29 00:00:00+00,-1.496454,53.392955,49,2,3,1,1,5,1,1,2,1
2020-04-29 00:00:00+00,-1.505066,53.377959,61,2,5,1,1,5,1,1,1,1
2020-04-29 00:00:00+00,-1.430569,53.38152,77,1,5,1,1,5,1,1,1,1
2020-04-29 00:00:00+00,-1.473833,53.383373,53,1,3,1,1,5,1,1,2,1
2020-04-29 00:00:00+00,-1.509128,53.380695,20,1,2,1,1,5,1,1,1,1
2020-04-29 00:00:00+00,-1.481799,53.385346,59,2,1,1,1,5,1,1,1,1
2020-04-29 01:00:00+00,-1.496454,53.392955,73,1,4,1,1,5,1,1,2,1
2020-04-29 01:00:00+00,-1.432859,53.395116,47,1,5,1,1,5,1,1,1,1
2020-04-29 01:00:00+00,-1.507449,53.397181,20,2,2,1,1,5,1,1,2,1
2020-04-29 01:00:00+00,-1.418595,53.394523,45,1,5,1,1,5,1,1,2,1
2020-04-29 03:00:00+00,-1.496646,53.389651,72,1,1,1,1,5,1,1,2,1
2020-04-29 03:00:00+00,-1.4603,53.383771,36,2,4,1,1,5,1,1,2,1
2020-04-29 03:00:00+00,-1.419498,53.383393,64,2,5,1,1,5,1,1,1,1
2020-04-29 03:00:00+00,-1.520526,53.382173,21,2,2,1,1,5,1,1,1,2
2020-04-29 04:00:00+00,-1.516479,53.370679,22,2,3,1,1,5,1,1,2,1
2020-04-29 05:00:00+00,-1.434472,53.373601,56,1,1,1,1,5,1,2,2,1
2020-04-29 05:00:00+00,-1.42557,53.370207,84,2,5,1,1,5,1,2,1,1
2020-04-29 08:00:00+00,-1.463708,53.514215,49,1,1,1,1,5,1,1,1,1
2020-04-29 08:00:00+00,-1.475047,53.497625,23,2,5,1,1,5,1,1,1,1
2020-04-29 08:00:00+00,-1.47879,53.477505,21,2,3,1,1,5,1,1,1,1
2020-04-29 08:00:00+00,-1.459572,53.379715,48,2,1,1,1,5,1,1,1,1
2020-04-29 09:00:00+00,-1.475089,53.495435,84,1,5,1,1,5,1,1,2,1
2020-04-29 09:00:00+00,-1.478255,53.471765,68,2,3,1,1,5,1,1,1,1
2020-04-29 10:00:00+00,-1.471515,53.385441,64,1,3,1,1,5,1,2,2,1
2020-04-29 11:00:00+00,-1.455561,53.389665,36,2,2,1,1,5,1,1,1,1
2020-04-29 12:00:00+00,-1.513653,53.393936,47,2,1,1,1,5,1,1,1,1
